Sample in Buffer,Sample in Window,TRIGGER,clk_vector,trigger_adc_buf_in[7:0],trig_vector,diff[8:0],prev_frame_adc[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX,SIGNED,UNSIGNED
190,190,0,1,148,0,0,148
191,191,0,0,148,0,0,148
192,192,0,0,148,0,0,148
193,193,0,0,148,0,0,148
194,194,0,1,148,0,0,148
195,195,0,1,148,0,0,148
196,196,0,0,148,0,0,148
197,197,0,0,148,0,0,148
198,198,0,0,148,0,0,148
199,199,0,1,148,0,0,148
200,200,0,1,148,0,0,148
201,201,0,0,148,0,0,148
202,202,0,0,148,0,0,148
203,203,0,0,148,0,0,148
204,204,0,1,148,0,0,148
205,205,0,1,148,0,0,148
206,206,0,0,148,0,0,148
207,207,0,0,148,0,0,148
208,208,0,0,148,0,0,148
209,209,0,1,148,0,0,148
210,210,0,1,148,0,0,148
211,211,0,0,148,0,0,148
212,212,0,0,148,0,0,148
213,213,0,0,148,0,0,148
214,214,0,1,148,0,0,148
215,215,0,1,148,0,0,148
216,216,0,0,148,0,0,148
217,217,0,0,148,0,0,148
218,218,0,0,148,0,0,148
219,219,0,1,148,0,0,148
220,220,0,1,148,0,0,148
221,221,0,0,148,0,0,148
222,222,0,0,148,0,0,148
223,223,0,0,148,0,0,148
224,224,0,1,148,0,0,148
225,225,0,1,148,0,0,148
226,226,0,0,148,0,0,148
227,227,0,0,148,0,0,148
228,228,0,0,148,0,0,148
229,229,0,1,148,0,0,148
230,230,0,1,148,0,0,148
231,231,0,0,148,0,0,148
232,232,0,0,148,0,0,148
233,233,0,0,148,0,0,148
234,234,0,1,148,0,0,148
235,235,0,1,148,0,0,148
236,236,0,0,148,0,0,148
237,237,0,0,148,0,0,148
238,238,0,0,148,0,0,148
239,239,0,1,148,0,0,148
240,240,0,1,148,0,0,148
241,241,0,0,148,0,0,148
242,242,0,0,148,0,0,148
243,243,0,0,148,0,0,148
244,244,0,1,148,0,0,148
245,245,0,1,148,0,0,148
246,246,0,0,148,0,0,148
247,247,0,0,147,0,0,148
248,248,0,0,147,0,0,148
249,249,0,1,147,0,0,148
250,250,0,1,147,0,0,148
251,251,0,0,147,0,0,148
252,252,0,0,148,0,1,148
253,253,0,0,148,0,1,148
254,254,0,1,148,0,1,148
255,255,0,1,148,0,1,148
256,256,0,0,148,0,1,148
257,257,0,0,148,0,0,148
258,258,0,0,148,0,0,148
259,259,0,1,148,0,0,148
260,260,0,1,148,0,0,148
261,261,0,0,148,0,0,148
262,262,0,0,148,0,0,148
263,263,0,0,148,0,0,148
264,264,0,1,148,0,0,148
265,265,0,1,148,0,0,148
266,266,0,0,148,0,0,148
267,267,0,0,148,0,0,148
268,268,0,0,148,0,0,148
269,269,0,1,148,0,0,148
